,Instance,List,GAP,Time,Nodes,ObjVal,ObjVal_h,Time_h,Structure,Pct,Model,Mode
23,2,0,0.3971202631941048,7200.108681917191,570534.0,594.4380550981085,715.8920756955763,117.58363795280457,Grid,Alpha-g,MTZ,3
24,3,0,0.3616358298244826,7200.252753019333,1789051.0,784.4823558330626,836.0706645703938,127.89068603515625,Grid,Alpha-g,MTZ,1
25,3,0,0.17073764627898094,7200.070353031158,330933.0,761.2140688904963,976.1197317346462,214.33403396606445,Grid,Alpha-g,MTZ,2
26,3,0,0.4358869056947241,7200.227500915527,1049901.0,843.513647984917,879.1794863102183,137.3950321674347,Grid,Alpha-g,MTZ,3
27,4,0,0.28283234450635786,7200.0781309604645,657651.0,671.0970611593561,1027.8566578650903,139.412260055542,Grid,Alpha-g,MTZ,1
28,4,0,0.21737345061079197,7200.087179899216,440768.0,744.5720984659446,1098.1136610381752,126.00469303131104,Grid,Alpha-g,MTZ,2
29,4,0,0.46912168962003875,7200.099084854126,490097.0,728.0252387077122,989.6242251120742,147.06042575836182,Grid,Alpha-g,MTZ,3
30,0,1,0.44493101081207276,7200.286164045334,247673.0,1605.3508253378984,2502.6501254005098,411.44807028770447,Grid,Alpha-e,MTZ,1
31,0,1,0.3747123387997078,7200.169567108154,147246.0,1805.0409700734801,3694.130261604875,432.3793320655823,Grid,Alpha-e,MTZ,2
32,0,1,0.5159081947157054,7200.261234045029,69020.0,1700.102684997164,2061.529324339274,810.6153719425201,Grid,Alpha-e,MTZ,3
33,1,1,0.469909548204994,7200.1496460437775,32392.0,1416.2412888280626,1956.6754711967146,333.5529570579529,Grid,Alpha-e,MTZ,1
34,1,1,0.2756849841958919,7200.339453935623,38902.0,1374.526098591355,2053.22615156126,1879.325208902359,Grid,Alpha-e,MTZ,2
35,1,1,0.513711656005273,10.007966041564941,1.0,1593.7158887647643,1593.7158887647643,807.1479687690735,Grid,Alpha-e,MTZ,3
36,2,1,0.5299124941593398,7200.142319202423,2307.0,1898.82249855775,1898.82249855775,734.9450619220734,Grid,Alpha-e,MTZ,1
37,2,1,0.3023902247232078,7200.27166390419,117403.0,1647.0710765628544,2550.780267274328,464.11034178733826,Grid,Alpha-e,MTZ,2
38,2,1,0.4341929076180989,7200.1740629673,111874.0,1496.8503779860544,1804.9651934868768,811.7214138507843,Grid,Alpha-e,MTZ,3
39,3,1,0.4944096935777436,7200.256502151489,286875.0,1742.3861525341185,1928.2314611615056,746.3233020305634,Grid,Alpha-e,MTZ,1
40,3,1,0.6056512203881209,7200.045562744141,2301.0,2459.9522104235753,3337.2690614812564,452.03283190727234,Grid,Alpha-e,MTZ,2
41,3,1,0.6254315169419943,10.010249853134155,1.0,2040.1548592249335,2040.1548592249335,812.5895388126373,Grid,Alpha-e,MTZ,3
42,4,1,0.4790106167430128,7200.192220211029,10978.0,1848.1651820105271,2140.5262119607714,2926.949536085129,Grid,Alpha-e,MTZ,1
43,4,1,0.413371731268455,10.009492874145508,1.0,1883.5181826849296,1883.5181826849296,783.6609346866608,Grid,Alpha-e,MTZ,2
44,4,1,0.5606036129399073,10.018702030181885,1.0,2018.7154924022104,2018.7154924022104,608.1929378509521,Grid,Alpha-e,MTZ,3
45,0,1,0.3273707005557746,7200.133050918579,274589.0,1406.8909927022075,1862.9765194332915,463.0201880931854,Grid,Alpha-g,MTZ,1
46,0,1,0.5351663319163759,10.008618116378784,1.0,2467.8036512157873,2467.8036512157873,449.18834495544434,Grid,Alpha-g,MTZ,2
47,0,1,0.4017703930852151,3343.1754920482635,26315.0,1376.3836559048264,1624.5792181283787,527.5340728759766,Grid,Alpha-g,MTZ,3
48,1,1,0.3843617021427553,7200.308513879776,373708.0,1458.8723774508799,1664.926862238554,543.1470768451691,Grid,Alpha-g,MTZ,1
49,1,1,0.3968299901840875,7200.18962097168,36567.0,1694.8209227823236,1817.545908878843,857.125914812088,Grid,Alpha-g,MTZ,2
50,1,1,0.4256033961465592,10.010915040969849,0.0,1516.896671493647,1516.896671493647,801.9941358566284,Grid,Alpha-g,MTZ,3
51,2,1,0.3402281629656635,7200.159468173981,524551.0,1337.1438493777368,1598.440344556346,428.0553078651428,Grid,Alpha-g,MTZ,1
52,2,1,0.0925370930787825,7203.208127975464,89031.0,1268.490911623201,1403.5964647630722,562.3469488620758,Grid,Alpha-g,MTZ,2
53,2,1,0.4094313466746439,7200.194718837738,204726.0,1383.0517408969774,1472.8220837211297,694.2694447040558,Grid,Alpha-g,MTZ,3
54,3,1,0.32748072475878337,7200.185847997665,462492.0,1353.7879206967687,1873.7024433059078,464.4552879333496,Grid,Alpha-g,MTZ,1
55,3,1,0.3269541605113382,7200.246984958649,58446.0,1704.8618087071388,2259.982918753234,572.0477209091187,Grid,Alpha-g,MTZ,2
56,3,1,0.4250903524619043,7200.202464103699,69405.0,1573.9109866037209,1810.4543025769347,1062.6069157123566,Grid,Alpha-g,MTZ,3
57,4,1,0.2845033570196685,7200.1324281692505,420404.0,1364.0292446809126,2003.176596874369,498.11353302001953,Grid,Alpha-g,MTZ,1
58,4,1,0.4099106755372061,7200.165776968002,133996.0,1718.6587241949308,2266.610930075392,754.7609510421753,Grid,Alpha-g,MTZ,2
59,4,1,0.42393181292790655,7200.1547701358795,57384.0,1453.2069021367788,1882.7767137724613,361.1510970592499,Grid,Alpha-g,MTZ,3
