,Instance,List,GAP,Time,Nodes,Obj,Type,Pct,Model,Mode
53,3,1,0.49618750656428784,7200.158874988556,180791.0,1516.789918431863,Grid,Alpha-e,MTZ,3
54,4,1,0.9163448616672362,0.0,18167.0,1701.670073114437,Grid,Alpha-e,Stages,1
55,4,1,0.4003268815933321,7200.2474629879,200883.0,1598.1452484374313,Grid,Alpha-e,MTZ,1
56,4,1,0.9264510763989993,0.0,19334.0,1935.4932525644142,Grid,Alpha-e,Stages,2
57,4,1,0.26019356028997753,7200.223227977753,45407.0,1493.5325665269088,Grid,Alpha-e,MTZ,2
58,4,1,0.9101518330210064,0.0,33139.0,1584.3778470894642,Grid,Alpha-e,Stages,3
59,4,1,0.45279202577090527,7200.236773967743,64703.0,1620.9856866822784,Grid,Alpha-e,MTZ,3
60,0,0,0.8570894367249434,0.0,289098.0,637.7879557987031,Grid,Alpha-g,Stages,1
61,0,0,0.32885714359417034,7200.075967073441,485118.0,637.3514982700807,Grid,Alpha-g,MTZ,1
62,0,0,0.8650694881246467,0.0,338185.0,675.5079688531732,Grid,Alpha-g,Stages,2
63,0,0,0.2987436846062587,7200.062590837479,448711.0,670.3966236264655,Grid,Alpha-g,MTZ,2
64,0,0,0.871639247453247,0.0,372734.0,710.0818139878131,Grid,Alpha-g,Stages,3
65,0,0,0.4445488985810969,7200.069322824478,549651.0,713.5419807035718,Grid,Alpha-g,MTZ,3
66,1,0,0.8046093755164563,0.0,562641.0,503.30387176925666,Grid,Alpha-g,Stages,1
67,1,0,0.12572075110594091,7200.0910267829895,593571.0,501.89773255181996,Grid,Alpha-g,MTZ,1
68,1,0,0.8987933856518344,0.0,352590.0,518.6096414957972,Grid,Alpha-g,Stages,2
69,1,0,0.0842954726164802,7200.121238946915,265326.0,550.7220621099839,Grid,Alpha-g,MTZ,2
70,1,0,0.9144227011931123,0.0,380509.0,613.3253411345245,Grid,Alpha-g,Stages,3
71,1,0,0.5085976648022263,7200.103641033173,678905.0,560.637546148536,Grid,Alpha-g,MTZ,3
72,2,0,0.8578496439154432,0.0,296459.0,584.5812684990373,Grid,Alpha-g,Stages,1
73,2,0,0.3531891677423186,7200.109861135483,616045.0,592.215792956551,Grid,Alpha-g,MTZ,1
74,2,0,0.8455241876997837,0.0,192745.0,537.9381680544404,Grid,Alpha-g,Stages,2
75,2,0,0.14042527645514102,7200.08414888382,382921.0,527.1517099138053,Grid,Alpha-g,MTZ,2
76,2,0,0.8659863928259437,0.0,370163.0,620.0746120472077,Grid,Alpha-g,Stages,3
77,2,0,0.35654766449316866,7200.108558893204,471896.0,556.9560298863421,Grid,Alpha-g,MTZ,3
78,3,0,0.9745367073490583,0.0,406586.0,746.9663628649603,Grid,Alpha-g,Stages,1
79,3,0,0.3723073360343243,7200.069089889526,1065078.0,797.819469379824,Grid,Alpha-g,MTZ,1
80,3,0,0.9755172103230333,0.0,332002.0,776.3875463393342,Grid,Alpha-g,Stages,2
81,3,0,0.1649704859948606,7200.085633993149,417602.0,755.9567175368144,Grid,Alpha-g,MTZ,2
82,3,0,0.9774890822641392,0.0,539696.0,844.3961826825763,Grid,Alpha-g,Stages,3
83,3,0,0.41766743712646437,7200.140925168991,958692.0,817.1225934978991,Grid,Alpha-g,MTZ,3
84,4,0,0.8066628045667759,0.0,399770.0,667.6671198058493,Grid,Alpha-g,Stages,1
85,4,0,0.27165640502359906,7200.0949120521545,674145.0,660.7995309903408,Grid,Alpha-g,MTZ,1
86,4,0,0.8628539187683743,0.0,281282.0,747.0973315517995,Grid,Alpha-g,Stages,2
87,4,0,0.19915758926341287,7200.057531118393,425365.0,727.6361546061447,Grid,Alpha-g,MTZ,2
88,4,0,0.8790567075852307,0.0,304496.0,847.1860594760988,Grid,Alpha-g,Stages,3
89,4,0,0.4765857308077962,7200.081229925156,508125.0,738.4070924080959,Grid,Alpha-g,MTZ,3
90,0,1,0.8993960306573845,0.0,78336.0,1248.3635890053697,Grid,Alpha-g,Stages,1
91,0,1,0.31551417311447555,7200.507751941681,435752.0,1382.521106567653,Grid,Alpha-g,MTZ,1
92,0,1,0.9026548988842457,0.0,45743.0,1290.1556503330614,Grid,Alpha-g,Stages,2
93,0,1,0.2617360169300016,7200.223909139633,69769.0,1553.8049391690743,Grid,Alpha-g,MTZ,2
94,0,1,0.907902003393493,0.0,61046.0,1363.659763125187,Grid,Alpha-g,Stages,3
95,0,1,0.34039821054678765,7200.17439198494,142652.0,1248.319010957637,Grid,Alpha-g,MTZ,3
96,1,1,0.900781937555659,0.0,65141.0,1406.0268081047966,Grid,Alpha-g,Stages,1
97,1,1,0.4166949037609659,7200.146445989609,268976.0,1539.7391742942718,Grid,Alpha-g,MTZ,1
98,1,1,0.9056868557896255,0.0,122101.0,1479.1496647994668,Grid,Alpha-g,Stages,2
